host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,capacity,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within an hour,100.00%,96.00%,t,t,Entire condo,Entire home/apt,4,1838,2,365,4.72,4.89,4.89,5,5,4.89,4.78,f,0.44
within an hour,100.00%,99.00%,t,t,Entire rental unit,Entire home/apt,4,899,2,1125,4.88,4.96,4.9,4.97,4.96,4.93,4.85,f,2.38
N/A,N/A,N/A,f,t,Private room in rental unit,Private room,3,471,2,1125,4.69,4.83,4.76,4.77,4.72,4.71,4.72,t,1.36
within a day,100.00%,0.00%,f,f,Entire rental unit,Entire home/apt,4,1434,2,30,4.67,4.92,4.75,5,5,4.83,4.83,f,0.23
within an hour,100.00%,100.00%,t,t,Private room in home,Private room,1,270,3,1125,4.95,5,5,5,4.95,4.91,4.95,f,0.38
within an hour,100.00%,92.00%,t,t,Entire rental unit,Entire home/apt,6,889,2,1125,5,4.83,4.83,5,5,5,4.83,f,0.12
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,2340,1,1125,4.65,4.89,4.63,4.93,4.89,5,4.56,t,1.28
within an hour,100.00%,100.00%,t,t,Entire guest suite,Entire home/apt,5,410,2,1125,4.96,4.96,4.96,4.96,5,4.93,4.96,f,0.51
within an hour,100.00%,100.00%,t,f,Private room in condo,Private room,2,600,1,90,4.94,4.97,4.94,4.97,4.97,4.97,4.93,t,1.21
N/A,N/A,100.00%,f,t,Entire condo,Entire home/apt,2,762,2,1125,4.79,4.88,4.97,5,5,4.94,4.94,t,0.59
within an hour,100.00%,100.00%,t,t,Entire guest suite,Entire home/apt,2,580,1,1125,4.88,4.93,4.94,5,4.91,4.92,4.94,f,1.79
within an hour,100.00%,100.00%,f,t,Room in serviced apartment,Hotel room,2,762,1,1125,4.79,4.94,4.9,4.98,4.87,4.97,4.79,t,4.61
within an hour,100.00%,98.00%,t,t,Private room in guest suite,Private room,2,331,2,120,4.92,4.96,4.94,4.93,4.84,4.83,4.92,f,1.86
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,6,1990,6,1124,4.65,4.54,4.79,4.82,4.84,4.95,4.47,f,1.01
within an hour,100.00%,100.00%,t,t,Private room in home,Private room,4,601,2,1125,4.95,4.95,4.93,4.95,4.93,5,4.96,f,1.92
N/A,N/A,N/A,f,f,Private room in serviced apartment,Private room,1,240,30,1125,4,4,5,5,5,5,5,f,0.02
within an hour,100.00%,84.00%,f,t,Entire rental unit,Entire home/apt,4,1999,2,1125,4.8,4.87,4.94,4.94,4.85,4.87,4.75,f,1.36
within a few hours,100.00%,100.00%,f,t,Private room in rental unit,Private room,4,4098,1,1125,5,5,5,5,5,5,5,t,0.04
within a few hours,100.00%,75.00%,f,f,Entire rental unit,Entire home/apt,3,514,3,15,4.64,4.86,4.54,4.89,4.86,4.86,4.82,t,0.54
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,12,2600,1,180,4.89,4.93,4.85,4.85,4.93,4.89,4.81,f,0.48
